region_en,current
nursultan,154289
almaty,183825
shyment,42351
akmola,49839
aktobe,34985
almaty_region,57850
atyrau,52260
east_kazakhstan,50349
jambyl,21462
west_kazakhstan,40087
karagandy,109923
kostanay,41515
kyzylorda,19470
mangistau,23492
pavlodar,57584
north_kazakhstan,34939
turkestan,15819
